"Rank","name","pop2020","pop2019","GrowthRate","area","Density"
1,"China","1439323.7760","1433783.6860","1.0039",9706961,"147.7068"
2,"India","1380004.3850","1366417.7540","1.0099",3287590,"415.6290"
3,"United States","331002.6510","329064.9170","1.0059",9372610,"35.1092"
4,"Indonesia","273523.6150","270625.5680","1.0107",1904569,"142.0928"
5,"Pakistan","220892.3400","216565.3180","1.0200",881912,"245.5634"
6,"Brazil","212559.4170","211049.5270","1.0072",8515767,"24.7834"
7,"Nigeria","206139.5890","200963.5990","1.0258",923768,"217.5477"
8,"Bangladesh","164689.3830","163046.1610","1.0101",147570,"1104.8734"
9,"Russia","145934.4620","145872.2560","1.0004",17098242,"8.5314"
10,"Mexico","128932.7530","127575.5290","1.0106",1964375,"64.9446"
11,"Japan","126476.4610","126860.3010","0.9970",377930,"335.6714"
12,"Ethiopia","114963.5880","112078.7300","1.0257",1104300,"101.4930"
13,"Philippines","109581.0780","108116.6150","1.0135",342353,"315.8045"
14,"Egypt","102334.4040","100388.0730","1.0194",1002450,"100.1427"
15,"Vietnam","97338.5790","96462.1060","1.0091",331212,"291.2398"
16,"DR Congo","89561.4030","86790.5670","1.0319",2344858,"37.0131"
18,"Turkey","84339.0670","83429.6150","1.0109",783562,"106.4748"
19,"Iran","83992.9490","82913.9060","1.0130",1648195,"50.3059"
17,"Germany","83783.9420","83517.0450","1.0032",357114,"233.8666"
20,"Thailand","69799.9780","69625.5820","1.0025",513120,"135.6906"
21,"United Kingdom","67886.0110","67530.1720","1.0053",242900,"278.0164"
22,"France","65273.5110","65129.7280","1.0022",551695,"118.0539"
23,"Italy","60461.8260","60550.0750","0.9985",301336,"200.9387"
25,"Tanzania","59734.2180","58005.4630","1.0298",945087,"61.3758"
24,"South Africa","59308.6900","58558.2700","1.0128",1221037,"47.9578"
26,"Myanmar","54409.8000","54045.4200","1.0067",676578,"79.8805"
27,"Kenya","53771.2960","52573.9730","1.0228",580367,"90.5875"
28,"South Korea","51269.1850","51225.3080","1.0009",100210,"511.1796"
29,"Colombia","50882.8910","50339.4430","1.0108",1141748,"44.0898"
30,"Spain","46754.7780","46736.7760","1.0004",505992,"92.3666"
32,"Uganda","45741.0070","44269.5940","1.0332",241550,"183.2730"
31,"Argentina","45195.7740","44780.6770","1.0093",2780400,"16.1058"
34,"Algeria","43851.0440","43053.0540","1.0185",2381741,"18.0763"
35,"Sudan","43849.2600","42813.2380","1.0242",1886068,"22.6997"
33,"Ukraine","43733.7620","43993.6380","0.9941",603500,"72.8975"
36,"Iraq","40222.4930","39309.7830","1.0232",438317,"89.6835"
37,"Afghanistan","38928.3460","38041.7540","1.0233",652230,"58.3257"
38,"Poland","37846.6110","37887.7680","0.9989",312679,"121.1715"
39,"Canada","37742.1540","37411.0470","1.0089",9984670,"3.7468"
40,"Morocco","36910.5600","36471.7690","1.0120",446550,"81.6745"
41,"Saudi Arabia","34813.8710","34268.5280","1.0159",2149690,"15.9411"
42,"Uzbekistan","33469.2030","32981.7160","1.0148",447400,"73.7186"
43,"Peru","32971.8540","32510.4530","1.0142",1285216,"25.2957"
45,"Angola","32866.2720","31825.2950","1.0327",1246700,"25.5276"
44,"Malaysia","32365.9990","31949.7770","1.0130",330803,"96.5825"
47,"Mozambique","31255.4350","30366.0360","1.0293",801590,"37.8823"
46,"Ghana","31072.9400","30417.8560","1.0215",238533,"127.5205"
48,"Yemen","29825.9640","29161.9220","1.0228",527968,"55.2343"
49,"Nepal","29136.8080","28608.7100","1.0185",147181,"194.3777"
50,"Venezuela","28435.9400","28515.8290","0.9972",916445,"31.1157"
51,"Madagascar","27691.0180","26969.3070","1.0268",587041,"45.9411"
52,"Cameroon","26545.8630","25876.3800","1.0259",475442,"54.4259"
53,"Ivory Coast","26378.2740","25716.5440","1.0257",322463,"79.7504"
54,"North Korea","25778.8160","25666.1610","1.0044",120538,"212.9300"
55,"Australia","25499.8840","25203.1980","1.0118",7692024,"3.2765"
57,"Niger","24206.6440","23310.7150","1.0384",1267000,"18.3984"
56,"Taiwan","23816.7750","23773.8760","1.0018",36193,"656.8639"
58,"Sri Lanka","21413.2490","21323.7330","1.0042",65610,"325.0074"
59,"Burkina Faso","20903.2730","20321.3780","1.0286",272967,"74.4463"
60,"Mali","20250.8330","19658.0310","1.0302",1240192,"15.8508"
