,country,elec_rank,elec_consumption_bil_kwh,gas_rank,gas_consumption_k_barrels_per_day,jet_rank,jet_consumption_k_barrels_per_day,pop_rank,pop2020,pop2019,pop_growth_rate,land_area,pop_density,covid_rank,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical_cases,cases_per_M_pop,deaths_per_M_pop,total_tests,tests_per_M_pop,population_covid,pov_rank,pop_below_poverty_line,health_dol_rank,health_expenditure_percent_GDP,beds_rank,bed_density_per_k_pop,life_rank,life_expectancy_at_birth_years
1,Afghanistan,0.587939698,0.000936098,0.356020942,0.00285655,0.791907514,0.000429215,0.181818182,0.026979789,0.026466058,0.763485477,0.065295056,0.031827297,0.214634146,0.008053629,0.100011562,0.002366751,0.005405405,0.002484071,0.011027093,0.00104639,0.060596135,0.007279947,0.002201719,0.00447996,0.026921055,0.094674556,0.744619799,0.104395604,0.541666667,0.954545455,0.030075188,1,0
2,Albania,0.592964824,0.000936098,0.712041885,0.000241885,0.884393064,0.000214608,0.702020202,0.001931212,0.001941275,0.257261411,0.002849253,0.055522026,0.52195122,0.000616479,0.002543647,0.000305387, ,0.001627892,0.000197201,0.000232531,0.063216508,0.013407849,0.000850336,0.023560749,0.001931432,0.798816568,0.167862267,0.43956044,0.298611111,0.431818182,0.210526316,0.262672811,0.793413174
3,Algeria,0.246231156,0.009211445,0.172774869,0.009306826,0.317919075,0.00779741,0.166666667,0.03040017,0.029961454,0.663900415,0.238516902,0.009058983,0.258536585,0.005136033,0.01526188,0.006155461,0.018918919,0.010635051,0.00261121,0.001918382,0.034064854,0.01831017, , ,0.030348482,0.485207101,0.292682927,0.456043956,0.291666667,0.630681818,0.135338346,0.331797235,0.751497006
9,Argentina,0.130653266,0.025803108,0.120418848,0.015296367,0.161849711,0.021389227,0.151515152,0.031334512,0.031166476,0.473029046,0.27844521,0.007944308,0.209756098,0.008549698, ,0.004991172,0.008108108,0.009174171,0.008590984,0.014998256,0.055191615,0.014633429,0.008892868,0.015579211,0.03130884,0.431952663,0.331420373,0.318681319,0.354166667,0.181818182,0.368421053,0.30875576,0.760479042
10,Armenia,0.567839196,0.001079482,0.659685864,0.00034555,0.722543353,0.000643823,0.686868687,0.001990582,0.001994853,0.319502075,0.002948909,0.055086509,0.268292683,0.004947372,0.028905076,0.001202462,0.016216216,0.006350316,0.004660568,0.000523195,0.492793973,0.052626419,0.003368758,0.090170304,0.00199029,0.301775148,0.421807747,0.126373626,0.520833333,0.278409091,0.308270677,0.506912442,0.688622754
13,Austria,0.190954774,0.013308152,0.251308901,0.004584303,0.265895954,0.010658845,0.484848485,0.006189476,0.006178036,0.398340249,0.008370183,0.05923261,0.2,0.009252184,0.003352989,0.006365415, ,0.029776222,0.000422452,0.001278921,0.302816901,0.090619408,0.026141896,0.229910401,0.006186393,0.99408284,0.005738881,0.087912088,0.555555556,0.051136364,0.563909774,0.101382488,0.886227545
14,Azerbaijan,0.351758794,0.003680891,0.314136126,0.003317284,0.312138728,0.00779741,0.449494949,0.006976551,0.006940138,0.468879668,0.00864351,0.064466402,0.32195122,0.002904833,0.029598798,0.000572601,0.005405405,0.006369512,0.001579306,0.002383444,0.084179496,0.007279947,0.017396113,0.135952963,0.006970929,0.964497041,0.032998565,0.406593407,0.3125,0.232954545,0.345864662,0.640552995,0.625748503
17,Bangladesh,0.261306533,0.008801775,0.554973822,0.000725656,0.387283237,0.004792904,0.035353535,0.114360845,0.113656985,0.489626556,0.014750054,0.623839272,0.102439024,0.024746292,0.203838594,0.005811901,0.072972973,0.017979763,0.029429665,0,0.043727481,0.004828786,0.017561118,0.008430937,0.114258693,0.461538462,0.31133429,1,0,0.875,0.052631579,0.599078341,0.646706587
19,Belarus,0.286432161,0.006753421,0.361256545,0.00285655,0.23699422,0.012804922,0.474747475,0.006497228,0.00652491,0.273858921,0.020762452,0.024590033,0.107317073,0.023109375,0.103248931,0.002175884,0.010810811,0.034467931,0.019945328,0.005290083,0.721257779,0.029340393,0.031134384,0.260834761,0.006497447,0.958579882,0.044476327,0.483516484,0.270833333,0.017045455,0.819548872,0.631336406,0.631736527
20,Belgium,0.165829146,0.016790353,0.319371728,0.003202101,0.173410405,0.020673868,0.393939394,0.007984348,0.007980541,0.371369295,0.003027532,0.21265617,0.087804878,0.032280546,0.014336918,0.090203751,0.059459459,0.030254224,0.028019509,0.009998837,0.821814609,1,0.050148726,0.34265839,0.007981347,0.75147929,0.179340029,0.120879121,0.527777778,0.119318182,0.458646617,0.133640553,0.871257485
21,Belize,0.824120603,7.57891E-05,0.832460733,9.21468E-05,0.878612717,0.000214608,0.888888889,0.000207946,0.000204099,0.665975104,0.002270148,0.008448443,0.946341463,3.88421E-06, ,9.54335E-06, ,1.34378E-05,0, ,0.006714707,0.006054367,8.58734E-05,0.018519039,0.000207511,0.207100592,0.550932568,0.532967033,0.256944444,0.761363636,0.090225564,0.543778802,0.676646707
22,Benin,0.743718593,0.00019869,0.439790576,0.001474349,0.601156069,0.001287646,0.383838384,0.008355087,0.008163163,0.846473029,0.011249783,0.058108715,0.756097561,0.000118191, ,1.90867E-05, ,0.0002438,7.22503E-05, ,0.0024566,0.000171581,0.001815466,0.01191379,0.008333381,0.25443787,0.482065997,0.868131868,0.104166667,0.960227273,0.030075188,0.889400922,0.317365269
25,Bolivia,0.51758794,0.001427702,0.387434555,0.002280633,0.537572254,0.001931469,0.404040404,0.008042294,0.007962247,0.56846473,0.11000003,0.004761901,0.273170732,0.004838614,0.039657764,0.002853462,0.016216216,0.001420566,0.006529725,0.000116266,0.122011137,0.031791553,0.001311403,0.008931832,0.008032195,0.230769231,0.516499283,0.412087912,0.3125,0.8125,0.07518797,0.723502304,0.52994012
26,Bosnia and Herzegovina,0.417085427,0.002451879,0.596858639,0.000495289,0.98265896,0,0.676767677,0.002211239,0.002234284,0.153526971,0.00509887,0.035298088,0.404878049,0.001377784,0.000924962,0.001450589, ,0.003497665,0.000433502,0.000174398,0.123812643,0.05752874,0.003814803,0.092141112,0.002212427,0.698224852,0.205164993,0.175824176,0.472222222,0.357954545,0.255639098,0.34562212,0.748502994
27,Botswana,0.648241206,0.000628845,0.539267016,0.000921468,0.89017341,0.000143072,0.727272727,0.00156562,0.001538662,0.711618257,0.058261062,0.001072644,0.892682927,1.33173E-05, ,0, ,2.11165E-05,1.19E-05, ,0.001801507,0.000416697,0.001056917,0.035863083,0.001562516,0.650887574,0.239598278,0.67032967,0.215277778,0.636363636,0.127819549,0.866359447,0.350299401
28,Brazil,0.040201005,0.09831482,0.036649215,0.061024212,0.046242775,0.090063667,0.025252525,0.147621815,0.147139468,0.429460581,0.852879751,0.012853061,0.004878049,0.260518853,0.135391375,0.267347426,0.189189189,0.370829246,0.211067723,0.483490292,0.361283983,0.161703066,0.054995252,0.020475803,0.147529336,0.970414201,0.022955524,0.032967033,0.652777778,0.568181818,0.157894737,0.557603687,0.664670659
31,Bulgaria,0.306532663,0.00593408,0.465968586,0.001359165,0.485549133,0.002575292,0.535353535,0.004759573,0.00481443,0.126556017,0.011075211,0.034546694,0.4,0.001380559,0.001503064,0.001316982,0.005405405,0.002025267,0.001101604,0.001220788,0.058139535,0.024438071,0.004768105,0.054344671,0.004762537,0.473372781,0.298421808,0.241758242,0.402777778,0.079545455,0.503759398,0.539170507,0.679640719
32,Burkina Faso,0.738693467,0.000239657,0.670157068,0.000334032,0.809248555,0.000357679,0.292929293,0.014455641,0.014106045,0.873443983,0.027309385,0.040946411,0.585365854,0.000463885, ,0.000496254, ,0.001364896,6.29002E-05, ,0.006059613,0.003603206, , ,0.014416155,0.213017751,0.538020086,0.423076923,0.305555556,0.971590909,0.022556391,0.907834101,0.290419162
34,Burundi,0.849246231,5.53055E-05,0.910994764,3.4555E-05,0.988439306,0,0.398989899,0.0081936,0.007974439,0.927385892,0.00275771,0.233173866,0.87804878,1.72015E-05, ,0, ,2.11165E-05,1.78501E-05, ,0,2.45116E-05,9.6992E-06,9.36251E-05,0.008168885,0.047337278,0.889526542,0.516483516,0.263888889,0.869318182,0.052631579,0.917050691,0.278443114
35,Cambodia,0.64321608,0.000669812,0.607329843,0.000460734,0.774566474,0.000500751,0.348484848,0.011548308,0.011431236,0.572614108,0.018101793,0.050349158,0.809756098,6.32571E-05,0, , ,0.000218844,1.70001E-06,0,0.00049132, ,0.001166388,0.005542604,0.011533599,0.715976331,0.199426112,0.527472527,0.256944444,0.863636364,0.052631579,0.820276498,0.392215569
36,Cameroon,0.537688442,0.001222867,0.523560209,0.00097906,0.473988439,0.002575292,0.257575758,0.018376215,0.017980675,0.817427386,0.047588581,0.029621255,0.317073171,0.003134001,0.025667707,0.001755977,0.018918919,0.006588356,0.001728057,0.001569585,0.034392401,0.008505527, , ,0.018331345,0.331360947,0.393113343,0.747252747,0.159722222,0.744318182,0.090225564,0.944700461,0.218562874
37,Canada,0.030150754,0.109171093,0.020942408,0.091087102,0.086705202,0.065741469,0.191919192,0.026155602,0.026026138,0.46473029,1,0.000953059,0.063414634,0.050023056,0.085790265,0.067490576,0.251351351,0.092223551,0.029782416,0.094000698,0.390926957,0.230335564,0.094409267,0.198148096,0.026135174,0.887573964,0.097560976,0.076923077,0.5625,0.494318182,0.195488722,0.078341014,0.895209581
42,Chile,0.185929648,0.013308152,0.22513089,0.00711834,0.213872832,0.014235639,0.308080808,0.013213951,0.013150927,0.460580913,0.075698517,0.013012639,0.058536585,0.052629359,0.487802058,0.009505177,0.140540541,0.077597477,0.045415677,0.079641902,0.812643302,0.063656641,0.033308484,0.138036121,0.013203851,0.786982249,0.169296987,0.214285714,0.423611111,0.556818182,0.157894737,0.221198157,0.808383234
43,China,0,1,0.005235602,0.219747057,0.005780347,0.27748766,0,1,1,0.360995851,0.972185626,0.082388472,0.07804878,0.046048955,0.000346861,0.044214344, ,0.150297839,5.35502E-05,0.000116266,0.00884376,0.003603206, , ,1,0.98816568,0.010043042,0.71978022,0.180555556,0.272727273,0.308270677,0.447004608,0.709580838
44,Colombia,0.231155779,0.009621116,0.167539267,0.009537193,0.202312139,0.014950998,0.141414141,0.035286025,0.035043731,0.504149378,0.114323488,0.023774321,0.146341463,0.014802718, ,0.008130935, ,0.0132535,0.016083763,0.007847925,0.085325909,0.02076133,0.018114504,0.028199871,0.035252143,0.408284024,0.364418938,0.604395604,0.243055556,0.693181818,0.105263158,0.400921659,0.721556886
49,Costa Rica,0.467336683,0.001816889,0.403141361,0.001935083,0.479768786,0.002575292,0.601010101,0.003471153,0.003452515,0.470954357,0.005087952,0.054710444,0.551219512,0.000560991, ,8.58902E-05, ,0.001236277,0.000305151,5.81328E-05,0.032263348,0.002377626,0.001501188,0.023434355,0.003468306,0.573964497,0.274031564,0.313186813,0.361111111,0.818181818,0.07518797,0.244239631,0.80239521
51,Croatia,0.376884422,0.003066385,0.42408377,0.001589532,0.560693642,0.001716861,0.651515152,0.002784081,0.002812725,0.153526971,0.005638213,0.040117689,0.414634146,0.001240172,0,0.000973422, ,0.003943031,6.80003E-05,0.000174398,0.088928922,0.030565973,0.003904757,0.075368181,0.002785547,0.644970414,0.242467719,0.346153846,0.333333333,0.159090909,0.413533835,0.382488479,0.724550898
54,Denmark,0.291457286,0.006753421,0.287958115,0.003778018,0.231213873,0.012804922,0.575757576,0.003956194,0.003957727,0.352697095,0.004286099,0.074599103,0.224390244,0.006448896,0.004509192,0.00543971,0.005405405,0.019807302,0.000624752,0.001104523,0.328365542,0.121258916,0.036593202,0.500294919,0.003955008,0.828402367,0.154949785,0.093406593,0.555555556,0.522727273,0.180451128,0.152073733,0.865269461
55,Djibouti,0.869346734,5.53055E-05,0.879581152,4.60734E-05,0.583815029,0.001502253,0.803030303,0.000618147,0.000610888,0.587136929,0.002293585,0.022571683,0.370731707,0.001766205,0.032258065,0.00020041,0.002702703,0.002451437,0.001603106, ,0.529479201,0.026889232,0.001552227,0.12507373,0.000617265,0.49704142,0.292682927,0.901098901,0.076388889,0.738636364,0.097744361,0.861751152,0.356287425
57,Dominican Republic,0.422110553,0.002451879,0.335078534,0.003086917,0.323699422,0.007082052,0.424242424,0.007468992,0.00742228,0.489626556,0.004844672,0.123647591,0.204878049,0.009166732, ,0.004647612, ,0.017770517,0.005760472,0.006103941,0.249099247,0.055077579,0.004542657,0.033208812,0.007462251,0.325443787,0.400286944,0.521978022,0.263888889,0.676136364,0.112781955,0.686635945,0.574850299
59,Ecuador,0.346733668,0.004090562,0.214659686,0.00746389,0.38150289,0.00486444,0.333333333,0.012190381,0.012050005,0.601659751,0.027697391,0.034333885,0.112195122,0.02139644, ,0.031807988, ,0.036821464,0.013640003,0.012731078,0.357844743,0.231561144,0.006723677,0.030222172,0.01217321,0.591715976,0.271162123,0.225274725,0.416666667,0.6875,0.105263158,0.350230415,0.748502994
60,Egypt,0.120603015,0.028670803,0.12565445,0.014490083,0.179190751,0.020673868,0.065656566,0.071035472,0.069952791,0.682572614,0.100371881,0.055482372,0.175609756,0.012246909, ,0.008379062, ,0.010562103,0.013338252,0.002325311,0.034719948,0.010956688,0.007977003,0.006169892,0.070908838,0.414201183,0.361549498,0.758241758,0.152777778,0.670454545,0.112781955,0.626728111,0.631736527
61,El Salvador,0.547738693,0.001202383,0.481675393,0.001128798,0.554913295,0.001788397,0.555555556,0.0044384,0.004433198,0.385892116,0.002077347,0.172335345,0.409756098,0.00132285,0.013411955,0.000410364,0.002702703,0.001952319,0.001126254,0.002557842,0.059777268,0.008505527,0.005136556,0.06278029,0.004436458,0.289940828,0.431850789,0.368131868,0.319444444,0.75,0.090225564,0.502304147,0.688622754
62,Equatorial Guinea,0.959798995,1.22901E-05,0.905759162,3.4555E-05,0.757225434,0.000500751,0.772727273,0.000906486,0.000877631,1,0.002779444,0.026178578,0.502439024,0.000718579, ,0.000104977, ,0.00036666,0.000929904, ,0.152309204,0.010956688,4.34098E-05,0.002841521,0.000903245,0.195266272,0.593974175,0.928571429,0.069444444,0.596590909,0.15037594,0.824884793,0.386227545
64,Estonia,0.492462312,0.001632538,0.57591623,0.000645028,0.768786127,0.000500751,0.777777778,0.000853367,0.00085647,0.294605809,0.004499733,0.015414237,0.43902439,0.00102876,0.000578102,0.000629861, ,0.003096451,0.000149601, ,0.229610219,0.062431061,0.004886683,0.292007228,0.000853351,0.603550296,0.265423242,0.445054945,0.298611111,0.176136364,0.368421053,0.35483871,0.745508982
68,Fiji,0.778894472,0.000157723,0.837696335,9.21468E-05,0.514450867,0.002146076,0.808080808,0.000554533,0.000552572,0.43153527,0.001800013,0.026385504,0.951219512,3.88421E-06, , , ,1.15181E-05,2.55001E-06, ,0.002620373, ,0.000136676,0.012686197,0.000554172,0.313609467,0.407460545,0.895604396,0.083333333,0.545454545,0.165413534,0.622119816,0.631736527
70,France,0.045226131,0.092784265,0.09947644,0.020709991,0.034682081,0.104370842,0.106060606,0.045284889,0.045359996,0.325726141,0.055225818,0.065614395,0.029268293,0.103666193, ,0.274018228, ,0.130143074,0.076770599,0.079060574,0.468227972,0.539181803,0.081882154,0.099303429,0.045276339,0.804733728,0.166427547,0.049450549,0.604166667,0.102272727,0.481203008,0.082949309,0.895209581
72,Gabon,0.708542714,0.000362559,0.80104712,0.000126702,0.728323699,0.000643823,0.732323232,0.001478147,0.001447207,0.788381743,0.026778655,0.003425028,0.395121951,0.001443816, ,0.000133607, ,0.001343779,0.001605656,0.000813859,0.192106125,0.008505527,0.000811007,0.029140803,0.001474642,0.284023669,0.454806313,0.983516484,0.020833333,0.107954545,0.466165414,0.760368664,0.476047904
75,Georgia,0.462311558,0.001857857,0.497382199,0.00111728,0.687861272,0.000786895,0.661616162,0.002703412,0.002719582,0.2406639,0.006950864,0.031271063,0.614634146,0.000413946,0.001156203,0.000104977, ,0.001134533,0.00012325,0.000290664,0.030461841,0.003603206,0.003163951,0.06289264,0.002703893,0.899408284,0.094691535,0.258241758,0.381944444,0.5,0.187969925,0.368663594,0.733532934
76,Germany,0.025125628,0.109375928,0.047120419,0.049160312,0.028901734,0.133700551,0.080808081,0.058146273,0.058185202,0.346473029,0.035737257,0.131127419,0.034146341,0.10162088,0.014915019,0.082044186,0.008108108,0.316538656,0.008203382,0.04232066,0.357517196,0.126161237,0.233777476,0.22090835,0.058130288,0.704142012,0.202295552,0.043956044,0.611111111,0.034090909,0.616541353,0.170506912,0.862275449
77,Ghana,0.452261307,0.001960274,0.366492147,0.002741367,0.520231214,0.002146076,0.227272727,0.02152171,0.021148367,0.726141079,0.023860594,0.070969469,0.287804878,0.004304258,0.017458666,0.000324474,0,0.004858721,0.004414067,0.000930124,0.040288241,0.001152045,0.012508542,0.031926149,0.021478679,0.467455621,0.30989957,0.598901099,0.243055556,0.857954545,0.060150376,0.774193548,0.458083832
79,Greece,0.216080402,0.010850128,0.19895288,0.00780944,0.208092486,0.014950998,0.434343434,0.007173794,0.007237091,0.180497925,0.013189615,0.043720567,0.385365854,0.001611392,0.000578102,0.001660543, ,0.002620369,0.001161105,0.000755726,0.045201441,0.02076133,0.010538776,0.08003539,0.007176728,0.272189349,0.479196557,0.230769231,0.416666667,0.261363636,0.315789474,0.175115207,0.859281437
81,Grenada,0.91959799,3.4822E-05,0.869109948,5.75917E-05,1,0,0.974747475,9.84974E-06,9.94918E-06,0.375518672,4.40689E-06,0.183013645,0.92195122,6.65864E-06, , , ,1.72772E-05,4.25002E-06,0.000174398,0.032754668, ,0.000170741,0.125129905,9.8553E-06,0.236686391,0.507890961,0.725274725,0.180555556,0.329545455,0.270676692,0.534562212,0.679640719
83,Guatemala,0.48241206,0.001734955,0.376963351,0.002511,0.76300578,0.000500751,0.328282828,0.012379729,0.012194953,0.674273859,0.010875899,0.090169695,0.331707317,0.00255026,0.029830038,0.000849358,0.024324324,0.001226678,0.003288663,0.000232531,0.041598428,0.006054367,0.001851542,0.008206237,0.012358062,0.071005917,0.81348637,0.631868132,0.229166667,0.943181818,0.037593985,0.668202765,0.589820359
85,Guinea,0.768844221,0.000178207,0.732984293,0.00020733,0.895953757,0.000143072,0.373737374,0.009056571,0.008839807,0.867219917,0.024594141,0.02821831,0.356097561,0.002022563, ,0.00020041, ,0.003822091,0.001388905,0.001337054,0.045037668,0.002377626,0.000844954,0.005130654,0.009032087,0.136094675,0.637015782,0.769230769,0.145833333,0.977272727,0.015037594,0.903225806,0.299401198
