,country,elec_rank,elec_consumption_bil_kwh,gas_rank,gas_consumption_k_barrels_per_day,jet_rank,jet_consumption_k_barrels_per_day,pop_rank,pop2020,pop2019,pop_growth_rate,land_area,pop_density,covid_rank,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical_cases,cases_per_M_pop,deaths_per_M_pop,total_tests,tests_per_M_pop,population_covid,pov_rank,pop_below_poverty_line,health_dol_rank,health_expenditure_percent_GDP,beds_rank,bed_density_per_k_pop,life_rank,life_expectancy_at_birth_years,unemployment2019,unemployment2020,covid_inc_unemployment,country_code,age_over_64_ratio,urban_percent,days_since_first_infection,days_since_government_first_response,days_to_gov_response
2,Albania,0.674418605,0.004600407,0.757062147,0.001943535,0.898203593,0.001240182,0.697435897,0.0101653,0.010287955,0.370149254,0.002834073,0.15822498,0.519607843,0.002366352,0.005450237,0.000859912,0,0.004351181,0.000934301,0.000601106,0.060755337,0.013480392,0.003585343,0.045843838,0.010176138,0.793939394,0.173590504,0.433526012,0.425531915,0.45508982,0.1796875,0.347560976,0.596491228,0.688235294,0.504716981,0.045454545,ALB,0.333818938,0.5625,0.229508197,0.443037975,0.412844037
3,Algeria,0.273255814,0.047822831,0.175141243,0.082446809,0.311377246,0.045059942,0.153846154,0.160017022,0.15878335,0.955223881,0.238505309,0.025816013,0.254901961,0.019714632,0.031516588,0.016833438,0.021563342,0.028173519,0.012371433,0.004087521,0.031527094,0.018382353,0,0,0.159897092,0.472727273,0.302670623,0.450867052,0.414893617,0.664670659,0.1015625,0.43902439,0.514619883,0.652941176,0.660377358,0.4,DZA,0.094068419,0.6875,0.442622951,0.189873418,0.71559633
6,Argentina,0.139534884,0.134481652,0.118644068,0.135638298,0.149700599,0.123604795,0.138461538,0.164935111,0.165169469,0.680597015,0.278434225,0.022639448,0.205882353,0.032817961,0,0.013654367,0.010781671,0.024309751,0.040702498,0.031137293,0.05270936,0.014705882,0.037215056,0.030325922,0.164956929,0.418181818,0.34272997,0.306358382,0.510638298,0.191616766,0.34375,0.408536585,0.532163743,0.558823529,0.462264151,0.163636364,ARG,0.296015097,0.9375,0.327868852,0.721518987,0.266055046
10,Austria,0.209302326,0.069220071,0.259887006,0.040507365,0.25748503,0.061595701,0.476923077,0.032579473,0.032741042,0.573134328,0.008355086,0.168799288,0.196078431,0.035514453,0.007109005,0.017406713,0,0.078798526,0.002001498,0.002765088,0.300985222,0.090686275,0.109341576,0.447034303,0.032594256,0.993939394,0.005934718,0.063583815,0.819148936,0.053892216,0.546875,0.134146341,0.777777778,0.247058824,0.20754717,0.154545455,AUT,0.584253416,0.4875,0.442622951,0.607594937,0.412844037
11,Azerbaijan,0.395348837,0.018936557,0.327683616,0.029255319,0.305389222,0.045059942,0.441025641,0.036722392,0.036779872,0.674626866,0.008628417,0.183714389,0.318627451,0.011150183,0.060900474,0.001589535,0.008086253,0.016891926,0.007482462,0.005049291,0.081773399,0.007352941,0.072771229,0.264359761,0.036727741,0.963636364,0.034124629,0.398843931,0.446808511,0.245508982,0.3203125,0.847560976,0.269005848,0.276470588,0.183962264,0.063636364,AZE,0.065481176,0.475,0.360655738,0.632911392,0.348623853
15,Belarus,0.319767442,0.034984487,0.378531073,0.025163666,0.22754491,0.07399752,0.466666667,0.034199385,0.034579333,0.394029851,0.020747544,0.070075926,0.102941176,0.088705194,0.211848341,0.005967271,0.013477089,0.091207262,0.09449729,0.011060351,0.720525452,0.029411765,0.130217579,0.507158265,0.034233107,0.957575758,0.045994065,0.479768786,0.382978723,0.017964072,0.8125,0.835365854,0.280701754,0,0.056603774,0.245454545,BLR,0.400855087,0.7625,0.393442623,0.075949367,0.770642202
16,Belgium,0.180232558,0.087407724,0.333333333,0.028232406,0.161676647,0.119470856,0.384615385,0.042027118,0.042293575,0.534328358,0.003012354,0.606021076,0.083333333,0.123908677,0.029620853,0.246325829,0.061994609,0.080062754,0.132751275,0.020798269,0.82134647,1,0.20972573,0.666241934,0.042051334,0.745454545,0.185459941,0.098265896,0.776595745,0.125748503,0.4375,0.176829268,0.748538012,0.3,0.29245283,0.236363636,BEL,0.586335198,1,0.786885246,0.658227848,0.568807339
17,Belize,0.941860465,0.000106986,0.88700565,0.000613748,0.892215569,0.001240182,0.887179487,0.001094562,0.001081641,0.958208955,0.002254959,0.024076116,0.946078431,1.49095E-05,0,5.21159E-05,0,8.12356E-05,0,0,0.00410509,0.006127451,0.000388754,0.036041612,0.001093313,0.187878788,0.569732938,0.531791908,0.361702128,0.80239521,0.0546875,0.719512195,0.368421053,0.517647059,0.830188679,0.936363636,BLZ,0,0.35,0,0.392405063,0.321100917
21,Bolivia,0.587209302,0.007168075,0.406779661,0.0200491,0.538922156,0.011161637,0.394871795,0.04233213,0.042196624,0.817910448,0.109986481,0.013570321,0.269607843,0.01857299,0.081516588,0.007817386,0.018867925,0.003802841,0.030936637,0.000360664,0.119704433,0.031862745,0.005513287,0.017401909,0.042319238,0.212121212,0.534124629,0.404624277,0.446808511,0.856287425,0.0390625,0.957317073,0.081871345,0.217647059,0.325471698,0.427272727,BOL,0.125912217,0.6375,0.196721311,0,0.71559633
22,Bosnia and Herzegovina,0.470930233,0.012517385,0.632768362,0.004193944,1,0,0.671794872,0.011639275,0.011840782,0.220895522,0.005083723,0.100591416,0.401960784,0.005288616,0.002132701,0.003986867,0,0.009296398,0.002053851,0.000480885,0.121510673,0.057598039,0.015981211,0.179179598,0.01165662,0.690909091,0.212166172,0.156069364,0.691489362,0.377245509,0.2265625,0.457317073,0.50877193,0.905882353,0.797169811,0.272727273,BIH,0.459476082,0.425,0.295081967,0.620253165,0.321100917
