Electricity Consumption by Country,,,
Rank,Country,Consumption (Billion KWH),
1,China,"4,882.00",
2,United States,"3,868.00",
3,Japan,935,
4,India,903,
5,Russian Federation,878,
6,Germany,534,
7,Canada,533,
8,"Korea, Republic Of",487,
9,Brazil,480,
10,France,453,
11,United Kingdom,319,
12,Italy,294,
13,Saudi Arabia,247,
14,Spain,235,
15,Mexico,232,
16,"Taiwan, Province Of China",226,
17,Australia,223,
18,South Africa,212,
19,"Iran, Islamic Republic Of",207,
20,Turkey,195,
21,Indonesia,185,
22,Thailand,158,
23,Ukraine,151,
24,Poland,145,
25,Egypt,140,
26,Sweden,129,
27,Argentina,126,
28,Malaysia,125,
29,Norway,116,
30,Viet Nam,112,
31,Netherlands,107,
32,United Arab Emirates,97,
33,Venezuela,95,
34,Belgium,82,
35,Finland,81,
36,Kazakhstan,78,
37,Pakistan,77,
38,Chile,65,
39,Austria,65,
40,Philippines,64,
41,Czech Republic,60,
42,Switzerland,58,
43,Iraq,57,
44,Greece,53,
45,Kuwait,50,
46,Israel,49,
47,Colombia,47,
48,Uzbekistan,47,
49,Portugal,46,
50,Algeria,45,
51,Singapore,44,
52,Romania,43,
53,Bangladesh,43,
54,Hong Kong,40,
55,New Zealand,40,
56,Peru,37,
57,Hungary,37,
58,Belarus,33,
59,Denmark,33,
60,Qatar,30,
61,Serbia,29,
62,Bulgaria,29,
63,Morocco,27,
64,Slovakia,25,
65,Ireland,24,
66,Libya,23,
67,Oman,23,
68,Nigeria,23,
69,Syrian Arab Republic,20,
70,Ecuador,20,
71,Azerbaijan,18,
72,Puerto Rico,18,
73,Iceland,17,
74,Lebanon,16,
75,"Korea, Democratic People's Republic Of",16,
76,Croatia,15,
77,Cuba,15,
78,Jordan,14,
79,Bahrain,13,
80,Tajikistan,13,
81,Turkmenistan,13,
82,Tunisia,13,
83,Slovenia,13,
84,Bosnia and Herzegovina,12,
85,Dominican Republic,12,
86,Kyrgyzstan,11,
87,Mozambique,11,
88,Zambia,11,
89,Sri Lanka,10,
90,Uruguay,9.8,
91,Ghana,9.6,
92,Lithuania,9.5,
93,Georgia,9.1,
94,Costa Rica,8.9,
95,Paraguay,8.9,
96,Trinidad and Tobago,8.7,
97,Guatemala,8.5,
98,Myanmar,8.4,
99,Estonia,8,
100,"Congo, The Democratic Republic Of The",7.9,
101,Zimbabwe,7.6,
102,Panama,7.5,
103,"Macedonia, The Former Yugoslav Republic Of",7.4,
104,Bolivia,7,
105,Kenya,6.9,
106,Latvia,6.8,
107,Luxembourg,6.1,
108,Cameroon,6,
109,Ethiopia,6,
110,El Salvador,5.9,
111,Yemen,5.8,
112,"Moldova, Republic Of",5.8,
113,Honduras,5.4,
114,Armenia,5.3,
115,Angola,5.2,
116,Mongolia,5.1,
117,C“te D'ivoire,4.9,
118,Afghanistan,4.6,
119,Albania,4.6,
120,Macao,4.3,
121,"Tanzania, United Republic Of",4.2,
122,Namibia,3.8,
123,Cyprus,3.8,
124,Brunei Darussalam,3.7,
125,Uganda,3.6,
126,Nicaragua,3.6,
127,Nepal,3.5,
128,Montenegro,3.4,
129,Cambodia,3.3,
130,Botswana,3.1,
131,Lao People's Democratic Republic,3,
132,Papua New Guinea,2.9,
133,Senegal,2.9,
134,Jamaica,2.8,
135,Mauritius,2.6,
136,R‚union,2.4,
137,Bhutan,2,
138,New Caledonia,1.9,
139,Madagascar,1.9,
140,Malta,1.8,
141,Malawi,1.8,
142,Gabon,1.8,
143,Bahamas,1.7,
144,Guam,1.6,
145,Suriname,1.4,
146,Swaziland,1.3,
147,Mali,1.3,
148,Burkina Faso,1.2,
149,Benin,1,
150,Congo,1,
151,Togo,1,
152,Barbados,0.9,
153,Niger,0.9,
154,Guinea,0.9,
155,Lesotho,0.8,
156,Fiji,0.8,
157,Aruba,0.7,
158,Mauritania,0.7,
159,Guyana,0.7,
160,"Virgin Islands, U.S.",0.7,
161,French Polynesia,0.6,
162,Cayman Islands,0.6,
163,Bermuda,0.6,
164,Rwanda,0.5,
165,Belize,0.4,
166,Haiti,0.4,
167,Maldives,0.3,
168,Liberia,0.3,
169,Saint Lucia,0.3,
170,Burundi,0.3,
171,Antigua and Barbuda,0.3,
172,Eritrea,0.3,
173,Greenland,0.3,
174,Djibouti,0.3,
175,Seychelles,0.3,
176,Somalia,0.3,
177,Sierra Leone,0.2,
178,Turks and Caicos Islands,0.2,
179,Chad,0.2,
180,Cape Verde,0.2,
181,Gambia,0.2,
182,Gibraltar,0.2,
183,Faroe Islands,0.2,
184,Grenada,0.2,
185,Saint Kitts and Nevis,0.2,
186,American Samoa,0.1,
187,Central African Republic,0.1,
188,"Virgin Islands, British",0.1,
189,Saint Vincent and the Grenadines,0.1,
190,Samoa,0.1,
191,Dominica,0.09,
192,Equatorial Guinea,0.09,
193,Western Sahara,0.08,
194,Solomon Islands,0.08,
195,Sao Tome and Principe,0.06,
196,Vanuatu,0.05,
197,Tonga,0.05,
198,Saint Pierre and Miquelon,0.04,
199,Comoros,0.04,
200,Guinea-Bissau,0.03,
201,Cook Islands,0.03,
202,Kiribati,0.02,
203,Nauru,0.02,
204,Montserrat,0.02,
205,Falkland Islands (Malvinas),0.01,
206,Saint Helena,0.01,
207,Niue,0,
208,Antarctica,0,
