Jet Fuel,,,
Rank,Country,Consumption (Thousand Barrels per Day),
1,United States,"1,398.00",
2,China,388,
3,Russian Federation,279,
4,United Kingdom,242,
5,Japan,202,
6,Germany,187,
7,France,146,
8,Singapore,140,
9,Brazil,126,
10,Australia,125,
11,India,117,
12,Hong Kong,115,
13,Spain,114,
14,"Korea, Republic Of",109,
15,United Arab Emirates,108,
16,Canada,92,
17,Thailand,83,
18,Italy,82,
19,Netherlands,72,
20,Malaysia,69,
21,Indonesia,64,
22,Saudi Arabia,63,
23,Mexico,58,
24,"Taiwan, Province Of China",49,
25,South Africa,41,
26,Qatar,39,
27,Switzerland,34,
28,Philippines,31,
29,Argentina,30,
30,Turkey,30,
31,Belgium,29,
32,Egypt,29,
33,"Iran, Islamic Republic Of",25,
34,New Zealand,22,
35,Portugal,22,
36,Colombia,21,
37,Greece,21,
38,Chile,20,
39,Viet Nam,20,
40,Sweden,18,
41,Denmark,18,
42,Belarus,18,
43,Norway,17,
44,Israel,17,
45,Kuwait,17,
46,Kenya,15,
47,Austria,15,
48,Finland,15,
49,Lithuania,14,
50,Peru,14,
51,Bahrain,13,
52,Poland,12,
53,Ireland,12,
54,Morocco,11,
55,Azerbaijan,11,
56,Algeria,11,
57,Dominican Republic,10,
58,Panama,10,
59,Angola,9.7,
60,Sri Lanka,9.1,
61,Turkmenistan,9,
62,Oman,8.8,
63,Iraq,7.9,
64,Luxembourg,7.8,
65,Jordan,7.6,
66,Ethiopia,7.6,
67,Ecuador,6.9,
68,Bangladesh,6.8,
69,Kazakhstan,6.8,
70,Czech Republic,6.5,
71,Tunisia,6.2,
72,Ukraine,6.2,
73,Trinidad and Tobago,5.8,
74,Cyprus,5.8,
75,Mauritius,5.5,
76,Cuba,5.1,
77,Libya,4.5,
78,Lebanon,4.5,
79,Senegal,4.4,
80,Jamaica,4.1,
81,Pakistan,4,
82,Nigeria,3.8,
83,Cameroon,3.7,
84,Costa Rica,3.7,
85,Bulgaria,3.7,
86,Macao,3.6,
87,Hungary,3.6,
88,R‚union,3.5,
89,"Congo, The Democratic Republic Of The",3.3,
90,Fiji,3.1,
91,Ghana,3.1,
92,Iceland,3.1,
93,Romania,3,
94,Bolivia,2.8,
95,Uzbekistan,2.8,
96,"Tanzania, United Republic Of",2.6,
97,El Salvador,2.6,
98,Croatia,2.5,
99,Latvia,2.5,
100,Myanmar,2.2,
101,Malta,2.2,
102,Djibouti,2.2,
103,Venezuela,2,
104,Uruguay,2,
105,Benin,1.9,
106,Antigua and Barbuda,1.8,
107,Brunei Darussalam,1.7,
108,Papua New Guinea,1.7,
109,Uganda,1.7,
110,Togo,1.6,
111,Serbia,1.6,
112,Congo,1.6,
113,Aruba,1.6,
114,Mozambique,1.5,
115,Syrian Arab Republic,1.5,
116,Nepal,1.4,
117,Madagascar,1.4,
118,C“te D'ivoire,1.3,
119,Bahamas,1.3,
120,Georgia,1.2,
121,Bermuda,1.1,
122,Kyrgyzstan,1.1,
123,Seychelles,1.1,
124,Zambia,1,
125,Honduras,1,
126,Armenia,1,
127,Gabon,1,
128,Yemen,0.9,
129,Somalia,0.9,
130,Suriname,0.9,
131,Slovakia,0.8,
132,Equatorial Guinea,0.8,
133,Guatemala,0.8,
134,Estonia,0.8,
135,Cambodia,0.8,
136,Namibia,0.8,
137,Mongolia,0.8,
138,Afghanistan,0.7,
139,Tajikistan,0.7,
140,Paraguay,0.6,
141,Burkina Faso,0.6,
142,Central African Republic,0.6,
143,Greenland,0.5,
144,Maldives,0.5,
145,Nicaragua,0.5,
146,Rwanda,0.5,
147,Slovenia,0.5,
148,Chad,0.4,
149,French Polynesia,0.4,
150,Mauritania,0.4,
151,Haiti,0.4,
152,Mali,0.4,
153,Belize,0.4,
154,Albania,0.4,
155,Botswana,0.3,
156,Guinea,0.3,
157,"Moldova, Republic Of",0.3,
158,Montenegro,0.3,
159,Liberia,0.3,
160,Malawi,0.3,
161,Sierra Leone,0.3,
162,Sao Tome and Principe,0.2,
163,Zimbabwe,0.2,
164,Niger,0.2,
165,Nauru,0.2,
166,Cayman Islands,0.2,
167,Lao People's Democratic Republic,0.2,
168,Guinea-Bissau,0.2,
169,Guyana,0.2,
170,American Samoa,0.2,
171,Bosnia and Herzegovina,0.1,
172,Burundi,0.1,
173,Gibraltar,0.1,
174,Grenada,0.1,
