code,iso,country,CCE.current,APE.current,EPI.current,HLT.current,AIR.current,H2O.current,HMT.current
4,AFG,Afghanistan,33.04,91.44,37.74,36.76,44.67,25.75,0
8,ALB,Albania,68.36,86.07,65.46,65.67,65.47,66.56,62.89
12,DZA,Algeria,26.94,46.15,57.18,80.95,93.98,60.26,35.6
24,AGO,Angola,48.86,57.92,37.44,33.79,44.66,9.2,40.08
28,ATG,Antigua and Barbuda,11.26,46.94,59.18,76.53,89.13,53.33,52.04
32,ARG,Argentina,46.65,19.51,59.3,79.88,84.57,73.07,59.78
51,ARM,Armenia,49.82,66.93,62.07,56.85,53.55,61.94,69.06
36,AUS,Australia,48.18,38.85,74.12,97.95,100,98.44,68.34
40,AUT,Austria,62.79,86.31,78.97,86.38,82.21,94.63,91.08
31,AZE,Azerbaijan,73.44,95.36,62.33,48.55,47.44,48.53,63.09
44,BHS,Bahamas,18.76,10.6,54.99,73.68,84.19,55.4,46.81
48,BHR,Bahrain,44.31,59.38,55.15,65.28,67.81,63.06,45.62
50,BGD,Bangladesh,46.95,40.22,29.56,11.96,4.12,28.47,14.72
52,BRB,Barbados,34.57,40.21,55.76,84.73,100,55.64,60.69
112,BLR,Belarus,64.73,72.33,64.98,69.55,69.71,68.66,72.8
56,BEL,Belgium,63.81,79.02,77.38,89.37,88.63,96.09,58.6
84,BLZ,Belize,45.03,39.57,57.79,65.09,74.73,46.74,49.86
204,BEN,Benin,34.35,25.05,38.17,36.36,50.66,6.37,30.23
64,BTN,Bhutan,43.76,48.28,47.22,35.27,36.89,32.6,30.28
68,BOL,Bolivia,33.49,38.72,55.98,61.64,70.92,44.57,43.51
70,BIH,Bosnia and Herzegovina,26.8,30.79,41.84,63.87,60.37,71.54,63.39
72,BWA,Botswana,47.24,42.46,51.7,37.19,43.33,21.8,49.65
76,BRA,Brazil,33.24,37.55,60.7,67.44,78.78,45.91,49.19
96,BRN,Brunei Darussalam,27.42,2.51,63.57,96.66,98.76,94.9,79.92
100,BGR,Bulgaria,56.04,52.91,67.85,69.6,68.49,71.26,74.15
854,BFA,Burkina Faso,26.24,28.47,42.83,44.22,61.85,8.45,29.78
108,BDI,Burundi,16.18,38.18,27.43,25.69,36.92,0.86,28.7
116,KHM,Cambodia,47.63,37.52,43.23,39.81,41.91,35.26,39.84
120,CMR,Cameroon,58.53,33.71,40.81,39.18,50.54,13.45,45.84
124,CAN,Canada,39.88,44.25,72.18,97.51,99.28,94.69,91.49
132,CPV,Cabo Verde,69.56,72.99,56.94,60.9,70.81,40.66,53.47
140,CAF,Central African Republic,17.55,40.31,36.42,29.16,42.93,0,25.01
148,TCD,Chad,49.62,78.57,45.34,41.36,60.82,0.32,34.67
152,CHL,Chile,37.37,3.37,57.49,73.73,69.22,79.61,97.15
156,CHN,China,68.62,57.08,50.74,31.72,14.39,68.24,38.02
170,COL,Colombia,50.1,56.76,65.22,71.05,77.01,59.96,60.12
174,COM,Comoros,49.44,30.02,44.24,47.06,64.38,10,44.3
188,CRI,Costa Rica,59.29,58.15,67.85,76.44,84.43,62.78,54.45
384,CIV,C?Ÿ??te d'Ivoire,38.57,51.38,45.25,39.55,53.88,9.53,33.42
191,HRV,Croatia,54.41,43.23,65.45,67.04,64.07,70.01,87.84
192,CUB,Cuba,49.15,75.32,63.42,75.76,86.47,57.5,46.03
196,CYP,Cyprus,66.26,49.65,72.6,87.96,87.5,92.35,67.57
203,CZE,Czech Republic,54.65,57.07,67.68,68.69,65.77,69.98,98.82
180,COD,Dem. Rep. Congo,34.26,40.16,30.41,19.7,22.57,10.01,40.47
208,DNK,Denmark,67.56,71,81.6,98.2,99.16,97.78,88.3
262,DJI,Djibouti,46.4,11.01,40.04,52.89,69.73,19.3,35.47
212,DMA,Dominica,51.78,31.59,59.38,69.45,80.39,50.64,40.18
214,DOM,Dominican Republic,61.27,65.46,64.71,64.86,77.96,42.4,29.34
