"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line"
"1","Afghanistan",118,"4.6",69,"25",138,"0.7",37,38928.346,38041.754,1.0233,652230,58.3257,45,"14,525","866","249","3","1,303","12,973","19","374","6","37,348","961","38,843,762",18,54.5
"2","Albania",119,"4.6",137,"2.3",154,"0.4",140,2877.797,2880.917,0.9989,28748,100.2128,108,"1,122","23","33","","857","232","5","390","11","14,498","5,037","2,878,060",137,14.3
"3","Algeria",50,"45",34,"81",56,"11",34,43851.044,43053.054,1.0185,2381741,18.0763,54,"9,267","133","646","8","5,549","3,072","34","212","15","","","43,776,603",84,23
"6","Angola",115,"5.2",68,"25",59,"9.7",45,32866.272,31825.295,1.0327,1246700,25.5276,177,"81","","4","","18","59","","2","0.1","10,000","305","32,762,654",44,36.6
"10","Argentina",27,"126",24,"133",29,"30",31,45195.774,44780.677,1.0093,2780400,16.1058,44,"15,419","","524","4","4,788","10,107","259","341","12","150,486","3,332","45,158,774",75,25.7
"11","Armenia",114,"5.3",127,"3.2",126,"1",137,2963.243,2957.731,1.0019,29743,99.4429,56,"8,927","251","127","7","3,317","5,483","10","3,013","43","57,081","19,266","2,962,770",53,32
"14","Austria",39,"65",49,"40",47,"15",97,9006.398,8955.102,1.0057,83871,106.7723,42,"16,685","30","668","","15,520","497","23","1,853","74","442,143","49,117","9,001,908",170,3
"15","Azerbaijan",71,"18",61,"29",55,"11",90,10139.177,10047.718,1.0091,86600,116.0245,67,"5,246","257","61","3","3,327","1,858","42","518","6","294,264","29,046","10,131,032",165,4.9
"19","Bangladesh",53,"43",107,"6.5",68,"6.8",8,164689.383,163046.161,1.0101,147570,1104.8734,22,"44,608","1,764","610","28","9,375","34,623","1","271","4","297,054","1,805","164,542,316",80,24.3
"21","Belarus",58,"33",70,"25",42,"18",95,9449.323,9452.411,0.9997,207600,45.5318,23,"41,658","894","229","5","17,964","23,465","92","4,408","24","526,559","55,723","9,449,585",164,5.7
"22","Belgium",34,"82",62,"28",31,"29",79,11589.623,11539.328,1.0044,30528,377.9916,19,"58,186","125","9,453","23","15,769","32,964","173","5,022","816","848,065","73,202","11,585,252",129,15.1
"23","Belize",165,"0.4",160,"1",153,"0.4",177,397.628,390.353,1.0186,22966,16.997,195,"18","","2","","16","0","","45","5","1,572","3,960","396,949",37,41
"24","Benin",149,"1",85,"13",105,"1.9",77,12123.2,11801.151,1.0273,112622,104.7855,156,"224","","3","","136","85","","19","0.2","30,817","2,549","12,091,909",45,36.2
"25","Bermuda",163,"0.6",162,"0.9",121,"1.1",205,62.278,62.506,0.9964,54,1157.5185,166,"140","","9","","92","39","2","2,247","144","6,941","111,418","62,297",146,11
"27","Bolivia",104,"7",75,"20",94,"2.8",81,11673.021,11513.1,1.0139,1098581,10.48,57,"8,731","344","300","7","749","7,682","3","749","26","22,294","1,912","11,658,434",41,38.6
"28","Bosnia and Herzegovina",84,"12",115,"4.5",171,"0.1",135,3280.819,3301,0.9939,51209,64.4613,84,"2,494","9","153","","1,831","510","4","760","47","64,623","19,687","3,282,476",120,16.9
"29","Botswana",130,"3.1",104,"8.2",155,"0.3",145,2351.627,2303.697,1.0208,582000,3.9582,184,"35","","1","","20","14","","15","0.4","17,991","7,665","2,347,107",112,19.3
"30","Brazil",9,"480",8,"530",9,"126",6,212559.417,211049.527,1.0072,8515767,24.7834,2,"469,510","1,172","28,015","71","193,181","248,314","8,318","2,210","132","930,013","4,378","212,426,274",166,4.2
"34","Bulgaria",62,"29",90,"12",85,"3.7",107,6948.445,7000.119,0.9926,110879,63.133,83,"2,499","14","139","3","1,064","1,296","22","359","20","80,742","11,613","6,952,659",82,23.4
"35","Burkina Faso",148,"1.2",129,"3.1",141,"0.6",59,20903.273,20321.378,1.0286,272967,74.4463,121,"847","","53","","720","74","","41","3","","","20,846,391",38,40.1
"37","Burundi",170,"0.3",175,"0.5",172,"0.1",80,11890.784,11530.58,1.0312,27834,414.2624,181,"42","","1","","20","21","","4","0.08","284","24","11,855,161",10,64.6
"40","Cambodia",129,"3.3",117,"4.2",135,"0.8",70,16718.965,16486.542,1.0141,181035,91.0683,167,"125","1","","","123","2","1","7","","19,842","1,188","16,697,744",123,16.5
"41","Cameroon",108,"6",101,"8.7",83,"3.7",52,26545.863,25876.38,1.0259,475442,54.4259,66,"5,659","223","185","8","3,441","2,033","28","214","7","","","26,481,233",58,30
"42","Canada",7,"533",5,"791",16,"92",39,37742.154,37411.047,1.0089,9984670,3.7468,14,"90,161","743","7,073","94","48,050","35,038","1,618","2,391","188","1,596,449","42,332","37,712,703",152,9.4
"48","Chad",179,"0.2",191,"0.2",148,"0.4",72,16425.864,15946.876,1.03,1284000,12.4197,124,"759","","65","","470","224","","46","4","","","16,378,747",26,46.7
"50","Chile",38,"65",44,"62",38,"20",62,19116.201,18952.038,1.0087,756102,25.0655,13,"94,858","4,220","997","53","40,431","53,430","1,371","4,966","52","563,320","29,491","19,101,613",135,14.4
"51","China",1,"4,882.00",2,"1,908.00",2,"388",1,1439323.776,1433783.686,1.0039,9706961,147.7068,17,"82,999","4","4,634","","78,302","63","3","58","3","","","1,439,323,776",169,3.3
"52","Colombia",47,"47",33,"83",36,"21",29,50882.891,50339.443,1.0108,1141748,44.0898,31,"26,688","","853","","6,913","18,922","136","525","17","306,411","6,028","50,834,077",71,28
"59","Costa Rica",94,"8.9",78,"17",84,"3.7",120,5094.118,5047.561,1.0092,51100,98.7781,114,"1,022","","10","","653","359","2","201","2","25,503","5,010","5,089,969",99,21.7
"61","Croatia",76,"15",82,"14",98,"2.5",130,4105.267,4130.304,0.9939,56594,72.9813,86,"2,246","1","103","","2,063","80","4","547","25","66,144","16,104","4,107,324",111,19.5
"68","Denmark",59,"33",56,"33",41,"18",115,5792.202,5771.876,1.0035,43094,133.9369,47,"11,633","40","571","3","10,327","735","20","2,009","99","618,860","106,876","5,790,443",142,13.4
"70","Djibouti",174,"0.3",169,"0.6",102,"2.2",160,988,973.56,1.0148,23200,41.9638,77,"3,194","280","22","2","1,286","1,886","","3,237","22","26,366","26,722","986,677",86,23
"72","Dominican Republic",85,"12",65,"27",57,"10",85,10847.91,10738.958,1.0101,48671,220.6439,43,"16,531","","488","","9,266","6,777","106","1,525","45","76,930","7,098","10,838,156",57,30.5
"76","Ecuador",70,"20",42,"65",67,"6.9",67,17643.054,17373.662,1.0155,276841,62.7568,24,"38,571","","3,334","","19,190","16,047","220","2,189","189","113,808","6,460","17,618,288",102,21.5
"77","Egypt",25,"140",25,"126",32,"29",14,102334.404,100388.073,1.0194,1002450,100.1427,37,"22,082","","879","","5,511","15,692","41","216","9","135,000","1,322","102,152,100",72,27.8
"78","El Salvador",110,"5.9",93,"10",97,"2.6",111,6486.205,6453.553,1.0051,21041,306.7132,85,"2,395","117","44","2","1,026","1,325","45","369","7","86,972","13,415","6,483,357",51,32.7
"79","Equatorial Guinea",192,"0.09",174,"0.5",132,"0.8",154,1402.985,1355.986,1.0347,28051,48.34,104,"1,306","","12","","200","1,094","","934","9","854","611","1,398,267",35,44
"81","Estonia",99,"8",111,"5.8",134,"0.8",155,1326.535,1325.648,1.0007,45227,29.311,91,"1,865","6","67","","1,622","176","","1,406","51","82,747","62,382","1,326,459",104,21.1
"83","Ethiopia",109,"6",121,"3.9",66,"7.6",12,114963.588,112078.73,1.0257,1104300,101.493,112,"1,063","95","8","","208","847","5","9","0.07","106,615","930","114,685,261",65,29.6
"88","Fiji",156,"0.8",161,"1",90,"3.1",161,896.445,889.953,1.0073,18272,48.7058,196,"18","","","","15","3","","20","","2,431","2,714","895,872",55,31
"90","France",10,"453",20,"180",7,"146",22,65273.511,65129.728,1.0022,551695,118.0539,7,"186,835","","28,714","","67,803","90,318","1,361","2,863","440","1,384,633","21,217","65,261,155",138,14.2
