"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density","covid_rank","total_cases","new_cases","total_deaths","new_deaths","total_recovered","active_cases","serious_critical_cases","cases_per_M_pop","deaths_per_M_pop","total_tests","tests_per_M_pop","population_covid","pov_rank","pop_below_poverty_line","health_dol_rank","health_expenditure_percent_GDP","beds_rank","bed_density_per_k_pop","life_rank","life_expectancy_at_birth_years","unemployment2019","unemployment2020","covid_inc_unemployment"
"2","Albania",119,"4.6",137,"2.3",154,"0.4",140,2877.797,2880.917,0.9989,28748,100.2128,108,"1,122","23","33","","857","232","5","390","11","14,498","5,037","2,878,060",137,14.3,83,6.7,78,2.9,59,78.6,"12","11.8","-0.2"
"3","Algeria",50,"45",34,"81",56,"11",34,43851.044,43053.054,1.0185,2381741,18.0763,54,"9,267","133","646","8","5,549","3,072","34","212","15","","","43,776,603",84,23,86,6.6,113,1.9,74,77.2,"11.4","15.1","3.7"
"9","Argentina",27,"126",24,"133",29,"30",31,45195.774,44780.677,1.0093,2780400,16.1058,44,"15,419","","524","4","4,788","10,107","259","341","12","150,486","3,332","45,158,774",75,25.7,61,7.5,34,5,69,77.5,"9.8","10.9","1.1"
"10","Armenia",114,"5.3",127,"3.2",126,"1",137,2963.243,2957.731,1.0019,29743,99.4429,56,"8,927","251","127","7","3,317","5,483","10","3,013","43","57,081","19,266","2,962,770",53,32,26,9.9,51,4.2,112,75.1,"17.7","19","1.3"
"13","Austria",39,"65",49,"40",47,"15",97,9006.398,8955.102,1.0057,83871,106.7723,42,"16,685","30","668","","15,520","497","23","1,853","74","442,143","49,117","9,001,908",170,3,19,10.4,11,7.6,24,81.7,"4.5","5.5","1"
"14","Azerbaijan",71,"18",61,"29",55,"11",90,10139.177,10047.718,1.0091,86600,116.0245,67,"5,246","257","61","3","3,327","1,858","42","518","6","294,264","29,046","10,131,032",165,4.9,77,6.9,43,4.7,141,73,"5","5","0"
"19","Belarus",58,"33",70,"25",42,"18",95,9449.323,9452.411,0.9997,207600,45.5318,23,"41,658","894","229","5","17,964","23,465","92","4,408","24","526,559","55,723","9,449,585",164,5.7,91,6.3,5,11,139,73.2,"0.3","2.3","2"
"20","Belgium",34,"82",62,"28",31,"29",79,11589.623,11539.328,1.0044,30528,377.9916,19,"58,186","125","9,453","23","15,769","32,964","173","5,022","816","848,065","73,202","11,585,252",129,15.1,25,10,23,6.2,31,81.2,"5.4","7.3","1.9"
"21","Belize",165,"0.4",160,"1",153,"0.4",177,397.628,390.353,1.0186,22966,16.997,195,"18","","2","","16","0","","45","5","1,572","3,960","396,949",37,41,100,6.1,136,1.3,120,74.7,"9.1","18.7","9.6"
"25","Bolivia",104,"7",75,"20",94,"2.8",81,11673.021,11513.1,1.0139,1098581,10.48,57,"8,731","344","300","7","749","7,682","3","749","26","22,294","1,912","11,658,434",41,38.6,78,6.9,145,1.1,159,69.8,"4","8","4"
"26","Bosnia and Herzegovina",84,"12",115,"4.5",171,"0.1",135,3280.819,3301,0.9939,51209,64.4613,84,"2,494","9","153","","1,831","510","4","760","47","64,623","19,687","3,282,476",120,16.9,35,9.2,65,3.5,77,77.1,"15.7","18","2.3"
"28","Brazil",9,"480",8,"530",9,"126",6,212559.417,211049.527,1.0072,8515767,24.7834,2,"469,510","1,172","28,015","71","193,181","248,314","8,318","2,210","132","930,013","4,378","212,426,274",166,4.2,9,11.8,102,2.2,123,74.3,"11.9","14.7","2.8"
"32","Bulgaria",62,"29",90,"12",85,"3.7",107,6948.445,7000.119,0.9926,110879,63.133,83,"2,499","14","139","3","1,064","1,296","22","359","20","80,742","11,613","6,952,659",82,23.4,47,8.2,16,6.8,119,74.8,"4.2","8","3.8"
