"","country","elec_rank","elec_consumption_bil_kwh","gas_rank","gas_consumption_k_barrels_per_day","jet_rank","jet_consumption_k_barrels_per_day","pop_rank","pop2020","pop2019","pop_growth_rate","land_area","pop_density"
"1","Afghanistan",118,"4.6",69,"25",138,"0.7",37,38928.346,38041.754,1.0233,652230,58.3257
"2","Albania",119,"4.6",137,"2.3",154,"0.4",140,2877.797,2880.917,0.9989,28748,100.2128
"3","Algeria",50,"45",34,"81",56,"11",34,43851.044,43053.054,1.0185,2381741,18.0763
"4","American Samoa",186,"0.1",185,"0.3",170,"0.2",209,55.191,55.312,0.9978,199,277.9497
"5","Angola",115,"5.2",68,"25",59,"9.7",45,32866.272,31825.295,1.0327,1246700,25.5276
"6","Antarctica",208,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Antigua and Barbuda",171,"0.3",159,"1",106,"1.8",200,97.929,97.118,1.0084,442,219.724
"8","Argentina",27,"126",24,"133",29,"30",31,45195.774,44780.677,1.0093,2780400,16.1058
"9","Armenia",114,"5.3",127,"3.2",126,"1",137,2963.243,2957.731,1.0019,29743,99.4429
"10","Aruba",157,"0.7",155,"1.3",113,"1.6",196,106.766,106.314,1.0043,180,590.6333
"11","Australia",17,"223",13,"344",10,"125",55,25499.884,25203.198,1.0118,7692024,3.2765
"12","Austria",39,"65",49,"40",47,"15",97,9006.398,8955.102,1.0057,83871,106.7723
"13","Azerbaijan",71,"18",61,"29",55,"11",90,10139.177,10047.718,1.0091,86600,116.0245
"14","Bahamas",143,"1.7",122,"3.6",119,"1.3",178,393.244,389.482,1.0097,13943,27.9339
"15","Bahrain",79,"13",79,"16",51,"13",152,1701.575,1641.172,1.0368,765,2145.3229
"16","Bangladesh",53,"43",107,"6.5",68,"6.8",8,164689.383,163046.161,1.0101,147570,1104.8734
"17","Barbados",152,"0.9",138,"2.2",NA,NA,183,287.375,287.025,1.0012,430,667.5
"18","Belarus",58,"33",70,"25",42,"18",95,9449.323,9452.411,0.9997,207600,45.5318
"19","Belgium",34,"82",62,"28",31,"29",79,11589.623,11539.328,1.0044,30528,377.9916
"20","Belize",165,"0.4",160,"1",153,"0.4",177,397.628,390.353,1.0186,22966,16.997
"21","Benin",149,"1",85,"13",105,"1.9",77,12123.2,11801.151,1.0273,112622,104.7855
"22","Bermuda",163,"0.6",162,"0.9",121,"1.1",205,62.278,62.506,0.9964,54,1157.5185
"23","Bhutan",137,"2",184,"0.3",NA,NA,165,771.608,763.092,1.0112,38394,19.8753
"24","Bolivia",104,"7",75,"20",94,"2.8",81,11673.021,11513.1,1.0139,1098581,10.48
"25","Bosnia and Herzegovina",84,"12",115,"4.5",171,"0.1",135,3280.819,3301,0.9939,51209,64.4613
"26","Botswana",130,"3.1",104,"8.2",155,"0.3",145,2351.627,2303.697,1.0208,582000,3.9582
"27","Brazil",9,"480",8,"530",9,"126",6,212559.417,211049.527,1.0072,8515767,24.7834
"28","Brunei Darussalam",124,"3.7",109,"6.1",107,"1.7",NA,NA,NA,NA,NA,NA
"29","Bulgaria",62,"29",90,"12",85,"3.7",107,6948.445,7000.119,0.9926,110879,63.133
"30","Burkina Faso",148,"1.2",129,"3.1",141,"0.6",59,20903.273,20321.378,1.0286,272967,74.4463
"31","Burundi",170,"0.3",175,"0.5",172,"0.1",80,11890.784,11530.58,1.0312,27834,414.2624
"32","Cìte D'ivoire",117,"4.9",124,"3.3",118,"1.3",NA,NA,NA,NA,NA,NA
"33","Cambodia",129,"3.3",117,"4.2",135,"0.8",70,16718.965,16486.542,1.0141,181035,91.0683
"34","Cameroon",108,"6",101,"8.7",83,"3.7",52,26545.863,25876.38,1.0259,475442,54.4259
"35","Canada",7,"533",5,"791",16,"92",39,37742.154,37411.047,1.0089,9984670,3.7468
"36","Cape Verde",180,"0.2",194,"0.2",NA,NA,172,555.987,549.935,1.011,4033,136.3588
"37","Cayman Islands",162,"0.6",166,"0.7",166,"0.2",204,65.722,64.948,1.0119,264,246.0152
"38","Central African Republic",187,"0.1",176,"0.5",142,"0.6",126,4829.767,4745.185,1.0178,622984,7.6169
"39","Chad",179,"0.2",191,"0.2",148,"0.4",72,16425.864,15946.876,1.03,1284000,12.4197
"40","Chile",38,"65",44,"62",38,"20",62,19116.201,18952.038,1.0087,756102,25.0655
"41","China",1,"4,882.00",2,"1,908.00",2,"388",1,1439323.776,1433783.686,1.0039,9706961,147.7068
"42","Colombia",47,"47",33,"83",36,"21",29,50882.891,50339.443,1.0108,1141748,44.0898
"43","Comoros",199,"0.04",193,"0.2",NA,NA,163,869.601,850.886,1.022,1862,456.9742
"44","Congo",150,"1",132,"2.9",112,"1.6",NA,NA,NA,NA,NA,NA
"45","Congo, The Democratic Republic Of The",100,"7.9",110,"6",89,"3.3",NA,NA,NA,NA,NA,NA
"46","Cook Islands",201,"0.03",197,"0.1",NA,NA,221,17.564,17.548,1.0009,236,74.3559
"47","Costa Rica",94,"8.9",78,"17",84,"3.7",120,5094.118,5047.561,1.0092,51100,98.7781
"48","Croatia",76,"15",82,"14",98,"2.5",130,4105.267,4130.304,0.9939,56594,72.9813
"49","Cuba",77,"15",95,"10",76,"5.1",82,11326.616,11333.483,0.9994,109884,103.1404
